Show,IMDB ID,Genre,Season,Episode,Title,Air Date,Year,Rating,Votes2,First_Season_Average,Last_season_average
Supergirl,tt4016454,"Superhero, Urban Adventure, Action, Adventure, Drama, Sci-Fi",3,15,In Search of Lost Time,2018-04-23,2018,7.5,1600.0,7.7,6.7
Supergirl,tt4016454,"Superhero, Urban Adventure, Action, Adventure, Drama, Sci-Fi",3,16,Of Two Minds,2018-04-30,2018,7.4,1600.0,7.7,6.7
Supergirl,tt4016454,"Superhero, Urban Adventure, Action, Adventure, Drama, Sci-Fi",3,17,Trinity,2018-05-07,2018,7.5,1600.0,7.7,6.7
Supergirl,tt4016454,"Superhero, Urban Adventure, Action, Adventure, Drama, Sci-Fi",3,18,Shelter from the Storm,2018-05-14,2018,7.5,1500.0,7.7,6.7
Supergirl,tt4016454,"Superhero, Urban Adventure, Action, Adventure, Drama, Sci-Fi",3,19,The Fanatical,2018-05-21,2018,6.9,1500.0,7.7,6.7
Supergirl,tt4016454,"Superhero, Urban Adventure, Action, Adventure, Drama, Sci-Fi",3,20,Dark Side of the Moon,2018-05-28,2018,7.3,1500.0,7.7,6.7
Supergirl,tt4016454,"Superhero, Urban Adventure, Action, Adventure, Drama, Sci-Fi",3,21,Not Kansas,2018-06-04,2018,6.4,1800.0,7.7,6.7
Supergirl,tt4016454,"Superhero, Urban Adventure, Action, Adventure, Drama, Sci-Fi",3,22,Make It Reign,2018-06-11,2018,7.3,1500.0,7.7,6.7
Supergirl,tt4016454,"Superhero, Urban Adventure, Action, Adventure, Drama, Sci-Fi",3,23,Battles Lost and Won,2018-06-18,2018,7.5,1600.0,7.7,6.7
Supergirl,tt4016454,"Superhero, Urban Adventure, Action, Adventure, Drama, Sci-Fi",4,1,American Alien,2018-10-14,2018,7.1,1900.0,7.7,6.7
Supergirl,tt4016454,"Superhero, Urban Adventure, Action, Adventure, Drama, Sci-Fi",4,2,Fallout,2018-10-21,2018,7.2,2200.0,7.7,6.7
Supergirl,tt4016454,"Superhero, Urban Adventure, Action, Adventure, Drama, Sci-Fi",4,3,Man of Steel,2018-10-28,2018,7.5,1800.0,7.7,6.7
Supergirl,tt4016454,"Superhero, Urban Adventure, Action, Adventure, Drama, Sci-Fi",4,4,Ahimsa,2018-11-04,2018,6.9,1600.0,7.7,6.7
Supergirl,tt4016454,"Superhero, Urban Adventure, Action, Adventure, Drama, Sci-Fi",4,5,Parasite Lost,2018-11-11,2018,6.7,1700.0,7.7,6.7
Supergirl,tt4016454,"Superhero, Urban Adventure, Action, Adventure, Drama, Sci-Fi",4,6,Call to Action,2018-11-18,2018,7.0,1500.0,7.7,6.7
Supergirl,tt4016454,"Superhero, Urban Adventure, Action, Adventure, Drama, Sci-Fi",4,7,Rather the Fallen Angel,2018-11-25,2018,7.2,1500.0,7.7,6.7
Supergirl,tt4016454,"Superhero, Urban Adventure, Action, Adventure, Drama, Sci-Fi",4,8,Bunker Hill,2018-12-02,2018,7.5,1500.0,7.7,6.7
Supergirl,tt4016454,"Superhero, Urban Adventure, Action, Adventure, Drama, Sci-Fi",4,9,"Elseworlds, Part 3",2018-12-11,2018,8.4,2600.0,7.7,6.7
Supergirl,tt4016454,"Superhero, Urban Adventure, Action, Adventure, Drama, Sci-Fi",4,10,Suspicious Minds,2019-01-20,2019,7.3,1400.0,7.7,6.7
Supergirl,tt4016454,"Superhero, Urban Adventure, Action, Adventure, Drama, Sci-Fi",4,11,Blood Memory,2019-01-27,2019,7.0,1400.0,7.7,6.7
Supergirl,tt4016454,"Superhero, Urban Adventure, Action, Adventure, Drama, Sci-Fi",4,12,Menagerie,2019-02-17,2019,7.0,1400.0,7.7,6.7
Supergirl,tt4016454,"Superhero, Urban Adventure, Action, Adventure, Drama, Sci-Fi",4,13,"What's So Funny About Truth, Justice, and the American Way?",2019-03-03,2019,7.3,1300.0,7.7,6.7
Supergirl,tt4016454,"Superhero, Urban Adventure, Action, Adventure, Drama, Sci-Fi",4,14,Stand and Deliver,2019-03-10,2019,7.3,1300.0,7.7,6.7
Supergirl,tt4016454,"Superhero, Urban Adventure, Action, Adventure, Drama, Sci-Fi",4,15,"O Brother, Where Art Thou?",2019-03-17,2019,8.1,1500.0,7.7,6.7
Supergirl,tt4016454,"Superhero, Urban Adventure, Action, Adventure, Drama, Sci-Fi",4,16,The House of L,2019-03-24,2019,8.3,1600.0,7.7,6.7
Supergirl,tt4016454,"Superhero, Urban Adventure, Action, Adventure, Drama, Sci-Fi",4,17,All About Eve,2019-03-31,2019,7.6,1300.0,7.7,6.7
Supergirl,tt4016454,"Superhero, Urban Adventure, Action, Adventure, Drama, Sci-Fi",4,18,Crime and Punishment,2019-04-21,2019,7.5,1300.0,7.7,6.7
Supergirl,tt4016454,"Superhero, Urban Adventure, Action, Adventure, Drama, Sci-Fi",4,19,American Dreamer,2019-04-28,2019,7.3,1400.0,7.7,6.7
Supergirl,tt4016454,"Superhero, Urban Adventure, Action, Adventure, Drama, Sci-Fi",4,20,Will the Real Miss Tessmacher Please Stand Up?,2019-05-05,2019,7.4,1300.0,7.7,6.7
Supergirl,tt4016454,"Superhero, Urban Adventure, Action, Adventure, Drama, Sci-Fi",4,21,Red Dawn,2019-05-12,2019,8.0,1400.0,7.7,6.7
Supergirl,tt4016454,"Superhero, Urban Adventure, Action, Adventure, Drama, Sci-Fi",4,22,The Quest for Peace,2019-05-19,2019,8.1,1400.0,7.7,6.7
Supergirl,tt4016454,"Superhero, Urban Adventure, Action, Adventure, Drama, Sci-Fi",5,1,Event Horizon,2019-10-06,2019,7.4,1800.0,7.7,6.7
Supergirl,tt4016454,"Superhero, Urban Adventure, Action, Adventure, Drama, Sci-Fi",5,2,Stranger Beside Me,2019-10-13,2019,6.6,1500.0,7.7,6.7
Supergirl,tt4016454,"Superhero, Urban Adventure, Action, Adventure, Drama, Sci-Fi",5,3,Blurred Lines,2019-10-20,2019,7.0,1500.0,7.7,6.7
Supergirl,tt4016454,"Superhero, Urban Adventure, Action, Adventure, Drama, Sci-Fi",5,4,In Plain Sight,2019-10-27,2019,6.8,1400.0,7.7,6.7
Supergirl,tt4016454,"Superhero, Urban Adventure, Action, Adventure, Drama, Sci-Fi",5,5,Dangerous Liaisons,2019-11-03,2019,6.8,1300.0,7.7,6.7
Supergirl,tt4016454,"Superhero, Urban Adventure, Action, Adventure, Drama, Sci-Fi",5,6,Confidence Women,2019-11-10,2019,7.7,1600.0,7.7,6.7
Supergirl,tt4016454,"Superhero, Urban Adventure, Action, Adventure, Drama, Sci-Fi",5,7,Tremors,2019-11-17,2019,7.7,1600.0,7.7,6.7
Supergirl,tt4016454,"Superhero, Urban Adventure, Action, Adventure, Drama, Sci-Fi",5,8,The Wrath of Rama Khan,2019-12-01,2019,7.6,1400.0,7.7,6.7
Supergirl,tt4016454,"Superhero, Urban Adventure, Action, Adventure, Drama, Sci-Fi",5,9,Crisis on Infinite Earths: Part One,2019-12-08,2019,8.4,3600.0,7.7,6.7
Supergirl,tt4016454,"Superhero, Urban Adventure, Action, Adventure, Drama, Sci-Fi",5,10,The Bottle Episode,2020-01-19,2020,7.4,1300.0,7.7,6.7
Supergirl,tt4016454,"Superhero, Urban Adventure, Action, Adventure, Drama, Sci-Fi",5,11,Back from the Future - Part One,2020-01-26,2020,6.7,1700.0,7.7,6.7
Supergirl,tt4016454,"Superhero, Urban Adventure, Action, Adventure, Drama, Sci-Fi",5,12,Back from the Future - Part Two,2020-02-16,2020,6.6,1400.0,7.7,6.7
Supergirl,tt4016454,"Superhero, Urban Adventure, Action, Adventure, Drama, Sci-Fi",5,13,It's a Super Life,2020-02-23,2020,8.6,2100.0,7.7,6.7
Supergirl,tt4016454,"Superhero, Urban Adventure, Action, Adventure, Drama, Sci-Fi",5,14,The Bodyguard,2020-03-08,2020,5.9,1500.0,7.7,6.7
Supergirl,tt4016454,"Superhero, Urban Adventure, Action, Adventure, Drama, Sci-Fi",5,15,Reality Bytes,2020-03-15,2020,6.3,1500.0,7.7,6.7
Supergirl,tt4016454,"Superhero, Urban Adventure, Action, Adventure, Drama, Sci-Fi",5,16,Alex in Wonderland,2020-03-22,2020,6.9,1200.0,7.7,6.7
Supergirl,tt4016454,"Superhero, Urban Adventure, Action, Adventure, Drama, Sci-Fi",5,17,Deus Lex Machina,2020-05-03,2020,7.6,1200.0,7.7,6.7
Supergirl,tt4016454,"Superhero, Urban Adventure, Action, Adventure, Drama, Sci-Fi",5,18,The Missing Link,2020-05-10,2020,7.4,1100.0,7.7,6.7
Supergirl,tt4016454,"Superhero, Urban Adventure, Action, Adventure, Drama, Sci-Fi",5,19,Immortal Kombat,2020-05-17,2020,7.7,1200.0,7.7,6.7
Supergirl,tt4016454,"Superhero, Urban Adventure, Action, Adventure, Drama, Sci-Fi",6,1,Rebirth,2021-03-30,2021,7.4,1700.0,7.7,6.7
Supergirl,tt4016454,"Superhero, Urban Adventure, Action, Adventure, Drama, Sci-Fi",6,2,A Few Good Women,2021-04-06,2021,6.6,1200.0,7.7,6.7
Supergirl,tt4016454,"Superhero, Urban Adventure, Action, Adventure, Drama, Sci-Fi",6,3,Phantom Menaces,2021-04-13,2021,7.0,1100.0,7.7,6.7
Supergirl,tt4016454,"Superhero, Urban Adventure, Action, Adventure, Drama, Sci-Fi",6,4,Lost Souls,2021-04-20,2021,7.0,1100.0,7.7,6.7
Supergirl,tt4016454,"Superhero, Urban Adventure, Action, Adventure, Drama, Sci-Fi",6,5,Prom Night!,2021-04-27,2021,7.2,1000.0,7.7,6.7
Supergirl,tt4016454,"Superhero, Urban Adventure, Action, Adventure, Drama, Sci-Fi",6,6,Prom Again!,2021-05-04,2021,7.2,,7.7,6.7
Supergirl,tt4016454,"Superhero, Urban Adventure, Action, Adventure, Drama, Sci-Fi",6,7,Fear Knot,2021-05-11,2021,6.7,,7.7,6.7
Supergirl,tt4016454,"Superhero, Urban Adventure, Action, Adventure, Drama, Sci-Fi",6,8,"Welcome Back, Kara",2021-08-24,2021,6.8,,7.7,6.7
Supergirl,tt4016454,"Superhero, Urban Adventure, Action, Adventure, Drama, Sci-Fi",6,9,Dream Weaver,2021-08-31,2021,6.6,,7.7,6.7
Supergirl,tt4016454,"Superhero, Urban Adventure, Action, Adventure, Drama, Sci-Fi",6,10,Still I Rise,2021-09-07,2021,6.3,,7.7,6.7
Supergirl,tt4016454,"Superhero, Urban Adventure, Action, Adventure, Drama, Sci-Fi",6,11,Mxy in the Middle,2021-09-14,2021,6.9,,7.7,6.7
Supergirl,tt4016454,"Superhero, Urban Adventure, Action, Adventure, Drama, Sci-Fi",6,12,Blind Spots,2021-09-21,2021,5.6,1800.0,7.7,6.7
Supergirl,tt4016454,"Superhero, Urban Adventure, Action, Adventure, Drama, Sci-Fi",6,13,The Gauntlet,2021-09-28,2021,7.2,1400.0,7.7,6.7
Supergirl,tt4016454,"Superhero, Urban Adventure, Action, Adventure, Drama, Sci-Fi",6,14,Magical Thinking,2021-10-05,2021,7.1,1200.0,7.7,6.7
Supergirl,tt4016454,"Superhero, Urban Adventure, Action, Adventure, Drama, Sci-Fi",6,15,Hope for Tomorrow,2021-10-12,2021,6.8,,7.7,6.7
Supergirl,tt4016454,"Superhero, Urban Adventure, Action, Adventure, Drama, Sci-Fi",6,16,Nightmare in National City,2021-10-19,2021,6.3,,7.7,6.7
Supergirl,tt4016454,"Superhero, Urban Adventure, Action, Adventure, Drama, Sci-Fi",6,17,I Believe in a Thing Called Love,2021-10-26,2021,6.9,,7.7,6.7
Supergirl,tt4016454,"Superhero, Urban Adventure, Action, Adventure, Drama, Sci-Fi",6,18,Truth or Consequences,2021-11-02,2021,6.4,1100.0,7.7,6.7
Supergirl,tt4016454,"Superhero, Urban Adventure, Action, Adventure, Drama, Sci-Fi",6,19,The Last Gauntlet,2021-11-09,2021,6.4,,7.7,6.7
Supergirl,tt4016454,"Superhero, Urban Adventure, Action, Adventure, Drama, Sci-Fi",6,20,Kara,2021-11-09,2021,6.4,1400.0,7.7,6.7
Lucifer,tt4052886,"Dark Comedy, Dark Fantasy, Police Procedural, Supernatural Fantasy, Crime, Drama, Fantasy",1,1,Pilot,2016-01-25,2016,8.5,11000.0,8.4,8.0
Lucifer,tt4052886,"Dark Comedy, Dark Fantasy, Police Procedural, Supernatural Fantasy, Crime, Drama, Fantasy",1,2,"Lucifer, Stay. Good Devil.",2016-02-01,2016,8.0,7700.0,8.4,8.0
Lucifer,tt4052886,"Dark Comedy, Dark Fantasy, Police Procedural, Supernatural Fantasy, Crime, Drama, Fantasy",1,3,The Would-Be Prince of Darkness,2016-02-08,2016,7.9,6900.0,8.4,8.0
Lucifer,tt4052886,"Dark Comedy, Dark Fantasy, Police Procedural, Supernatural Fantasy, Crime, Drama, Fantasy",1,4,Manly Whatnots,2016-02-15,2016,8.3,6800.0,8.4,8.0
Lucifer,tt4052886,"Dark Comedy, Dark Fantasy, Police Procedural, Supernatural Fantasy, Crime, Drama, Fantasy",1,5,Sweet Kicks,2016-02-22,2016,7.8,6300.0,8.4,8.0
Lucifer,tt4052886,"Dark Comedy, Dark Fantasy, Police Procedural, Supernatural Fantasy, Crime, Drama, Fantasy",1,6,Favorite Son,2016-02-29,2016,8.6,6600.0,8.4,8.0
Lucifer,tt4052886,"Dark Comedy, Dark Fantasy, Police Procedural, Supernatural Fantasy, Crime, Drama, Fantasy",1,7,Wingman,2016-03-07,2016,8.4,6200.0,8.4,8.0
Lucifer,tt4052886,"Dark Comedy, Dark Fantasy, Police Procedural, Supernatural Fantasy, Crime, Drama, Fantasy",1,8,"Et Tu, Doctor?",2016-03-14,2016,8.0,5900.0,8.4,8.0
Lucifer,tt4052886,"Dark Comedy, Dark Fantasy, Police Procedural, Supernatural Fantasy, Crime, Drama, Fantasy",1,9,A Priest Walks Into a Bar,2016-03-21,2016,8.9,7400.0,8.4,8.0
Lucifer,tt4052886,"Dark Comedy, Dark Fantasy, Police Procedural, Supernatural Fantasy, Crime, Drama, Fantasy",1,10,Pops,2016-03-28,2016,8.1,5800.0,8.4,8.0
Lucifer,tt4052886,"Dark Comedy, Dark Fantasy, Police Procedural, Supernatural Fantasy, Crime, Drama, Fantasy",1,11,St. Lucifer,2016-04-11,2016,8.5,5900.0,8.4,8.0
Lucifer,tt4052886,"Dark Comedy, Dark Fantasy, Police Procedural, Supernatural Fantasy, Crime, Drama, Fantasy",1,12,#TeamLucifer,2016-04-18,2016,8.8,6400.0,8.4,8.0
Lucifer,tt4052886,"Dark Comedy, Dark Fantasy, Police Procedural, Supernatural Fantasy, Crime, Drama, Fantasy",1,13,Take Me Back to Hell,2016-04-25,2016,9.0,7000.0,8.4,8.0
Lucifer,tt4052886,"Dark Comedy, Dark Fantasy, Police Procedural, Supernatural Fantasy, Crime, Drama, Fantasy",2,1,Everything's Coming Up Lucifer,2016-09-19,2016,8.2,5600.0,8.4,8.0
Lucifer,tt4052886,"Dark Comedy, Dark Fantasy, Police Procedural, Supernatural Fantasy, Crime, Drama, Fantasy",2,2,"Liar, Liar, Slutty Dress on Fire",2016-10-03,2016,8.3,5200.0,8.4,8.0
Lucifer,tt4052886,"Dark Comedy, Dark Fantasy, Police Procedural, Supernatural Fantasy, Crime, Drama, Fantasy",2,3,Sin-Eater,2016-10-10,2016,7.9,5000.0,8.4,8.0
Lucifer,tt4052886,"Dark Comedy, Dark Fantasy, Police Procedural, Supernatural Fantasy, Crime, Drama, Fantasy",2,4,Lady Parts,2016-10-17,2016,8.3,5000.0,8.4,8.0
Lucifer,tt4052886,"Dark Comedy, Dark Fantasy, Police Procedural, Supernatural Fantasy, Crime, Drama, Fantasy",2,5,Weaponizer,2016-10-24,2016,8.6,5400.0,8.4,8.0
Lucifer,tt4052886,"Dark Comedy, Dark Fantasy, Police Procedural, Supernatural Fantasy, Crime, Drama, Fantasy",2,6,Monster,2016-10-31,2016,9.0,6300.0,8.4,8.0
Lucifer,tt4052886,"Dark Comedy, Dark Fantasy, Police Procedural, Supernatural Fantasy, Crime, Drama, Fantasy",2,7,My Little Monkey,2016-11-07,2016,8.6,5100.0,8.4,8.0
Lucifer,tt4052886,"Dark Comedy, Dark Fantasy, Police Procedural, Supernatural Fantasy, Crime, Drama, Fantasy",2,8,Trip to Stabby Town,2016-11-14,2016,8.4,4900.0,8.4,8.0
Lucifer,tt4052886,"Dark Comedy, Dark Fantasy, Police Procedural, Supernatural Fantasy, Crime, Drama, Fantasy",2,9,Homewrecker,2016-11-21,2016,8.6,4900.0,8.4,8.0
Lucifer,tt4052886,"Dark Comedy, Dark Fantasy, Police Procedural, Supernatural Fantasy, Crime, Drama, Fantasy",2,10,Quid Pro Ho,2016-11-28,2016,8.9,5500.0,8.4,8.0
Lucifer,tt4052886,"Dark Comedy, Dark Fantasy, Police Procedural, Supernatural Fantasy, Crime, Drama, Fantasy",2,11,Stewardess Interruptus,2017-01-16,2017,8.5,5000.0,8.4,8.0
Lucifer,tt4052886,"Dark Comedy, Dark Fantasy, Police Procedural, Supernatural Fantasy, Crime, Drama, Fantasy",2,12,Love Handles,2017-01-23,2017,8.9,5300.0,8.4,8.0
Lucifer,tt4052886,"Dark Comedy, Dark Fantasy, Police Procedural, Supernatural Fantasy, Crime, Drama, Fantasy",2,13,A Good Day to Die,2017-01-30,2017,9.3,7500.0,8.4,8.0
Lucifer,tt4052886,"Dark Comedy, Dark Fantasy, Police Procedural, Supernatural Fantasy, Crime, Drama, Fantasy",2,14,Candy Morningstar,2017-05-01,2017,8.1,4800.0,8.4,8.0
Lucifer,tt4052886,"Dark Comedy, Dark Fantasy, Police Procedural, Supernatural Fantasy, Crime, Drama, Fantasy",2,15,Deceptive Little Parasite,2017-05-08,2017,8.0,4500.0,8.4,8.0
Lucifer,tt4052886,"Dark Comedy, Dark Fantasy, Police Procedural, Supernatural Fantasy, Crime, Drama, Fantasy",2,16,God Johnson,2017-05-15,2017,8.8,5000.0,8.4,8.0
Lucifer,tt4052886,"Dark Comedy, Dark Fantasy, Police Procedural, Supernatural Fantasy, Crime, Drama, Fantasy",2,17,Sympathy for the Goddess,2017-05-22,2017,8.3,4400.0,8.4,8.0
Lucifer,tt4052886,"Dark Comedy, Dark Fantasy, Police Procedural, Supernatural Fantasy, Crime, Drama, Fantasy",2,18,"The Good, the Bad, and the Crispy",2017-05-29,2017,9.0,5400.0,8.4,8.0
Lucifer,tt4052886,"Dark Comedy, Dark Fantasy, Police Procedural, Supernatural Fantasy, Crime, Drama, Fantasy",3,1,"They're Back, Aren't They?",2017-10-02,2017,8.3,5300.0,8.4,8.0
Lucifer,tt4052886,"Dark Comedy, Dark Fantasy, Police Procedural, Supernatural Fantasy, Crime, Drama, Fantasy",3,2,The One with the Baby Carrot,2017-10-09,2017,7.8,4800.0,8.4,8.0
Lucifer,tt4052886,"Dark Comedy, Dark Fantasy, Police Procedural, Supernatural Fantasy, Crime, Drama, Fantasy",3,3,Mr. and Mrs. Mazikeen Smith,2017-10-16,2017,8.3,5000.0,8.4,8.0
Lucifer,tt4052886,"Dark Comedy, Dark Fantasy, Police Procedural, Supernatural Fantasy, Crime, Drama, Fantasy",3,4,What Would Lucifer Do?,2017-10-23,2017,7.8,4700.0,8.4,8.0
Lucifer,tt4052886,"Dark Comedy, Dark Fantasy, Police Procedural, Supernatural Fantasy, Crime, Drama, Fantasy",3,5,"Welcome Back, Charlotte Richards",2017-10-30,2017,8.0,4700.0,8.4,8.0
Lucifer,tt4052886,"Dark Comedy, Dark Fantasy, Police Procedural, Supernatural Fantasy, Crime, Drama, Fantasy",3,6,Vegas With Some Radish,2017-11-06,2017,8.6,5200.0,8.4,8.0
Lucifer,tt4052886,"Dark Comedy, Dark Fantasy, Police Procedural, Supernatural Fantasy, Crime, Drama, Fantasy",3,7,Off the Record,2017-11-13,2017,9.1,6900.0,8.4,8.0
Lucifer,tt4052886,"Dark Comedy, Dark Fantasy, Police Procedural, Supernatural Fantasy, Crime, Drama, Fantasy",3,8,Chloe Does Lucifer,2017-11-20,2017,7.8,4600.0,8.4,8.0
Lucifer,tt4052886,"Dark Comedy, Dark Fantasy, Police Procedural, Supernatural Fantasy, Crime, Drama, Fantasy",3,9,The Sinnerman,2017-12-04,2017,8.4,4800.0,8.4,8.0
Lucifer,tt4052886,"Dark Comedy, Dark Fantasy, Police Procedural, Supernatural Fantasy, Crime, Drama, Fantasy",3,10,The Sin Bin,2017-12-11,2017,8.8,5200.0,8.4,8.0
Lucifer,tt4052886,"Dark Comedy, Dark Fantasy, Police Procedural, Supernatural Fantasy, Crime, Drama, Fantasy",3,11,City of Angels?,2018-01-01,2018,8.1,4900.0,8.4,8.0
Lucifer,tt4052886,"Dark Comedy, Dark Fantasy, Police Procedural, Supernatural Fantasy, Crime, Drama, Fantasy",3,12,All About Her,2018-01-22,2018,8.0,4500.0,8.4,8.0
Lucifer,tt4052886,"Dark Comedy, Dark Fantasy, Police Procedural, Supernatural Fantasy, Crime, Drama, Fantasy",3,13,Til Death Do Us Part,2018-01-29,2018,8.6,5100.0,8.4,8.0
Lucifer,tt4052886,"Dark Comedy, Dark Fantasy, Police Procedural, Supernatural Fantasy, Crime, Drama, Fantasy",3,14,My Brother's Keeper,2018-02-05,2018,7.9,4400.0,8.4,8.0
Lucifer,tt4052886,"Dark Comedy, Dark Fantasy, Police Procedural, Supernatural Fantasy, Crime, Drama, Fantasy",3,15,High School Poppycock,2018-02-26,2018,7.8,4500.0,8.4,8.0
Lucifer,tt4052886,"Dark Comedy, Dark Fantasy, Police Procedural, Supernatural Fantasy, Crime, Drama, Fantasy",3,16,Infernal Guinea Pig,2018-03-05,2018,8.0,4500.0,8.4,8.0
Lucifer,tt4052886,"Dark Comedy, Dark Fantasy, Police Procedural, Supernatural Fantasy, Crime, Drama, Fantasy",3,17,Let Pinhead Sing!,2018-03-12,2018,8.0,4600.0,8.4,8.0
Lucifer,tt4052886,"Dark Comedy, Dark Fantasy, Police Procedural, Supernatural Fantasy, Crime, Drama, Fantasy",3,18,The Last Heartbreak,2018-03-19,2018,8.0,4500.0,8.4,8.0
Lucifer,tt4052886,"Dark Comedy, Dark Fantasy, Police Procedural, Supernatural Fantasy, Crime, Drama, Fantasy",3,19,Orange Is the New Maze,2018-03-26,2018,8.2,4500.0,8.4,8.0
Lucifer,tt4052886,"Dark Comedy, Dark Fantasy, Police Procedural, Supernatural Fantasy, Crime, Drama, Fantasy",3,20,The Angel of San Bernardino,2018-04-16,2018,8.8,5300.0,8.4,8.0
Lucifer,tt4052886,"Dark Comedy, Dark Fantasy, Police Procedural, Supernatural Fantasy, Crime, Drama, Fantasy",3,21,Anything Pierce Can Do I Can Do Better,2018-04-23,2018,7.7,4800.0,8.4,8.0
Lucifer,tt4052886,"Dark Comedy, Dark Fantasy, Police Procedural, Supernatural Fantasy, Crime, Drama, Fantasy",3,22,All Hands on Decker,2018-04-30,2018,7.8,4700.0,8.4,8.0
Lucifer,tt4052886,"Dark Comedy, Dark Fantasy, Police Procedural, Supernatural Fantasy, Crime, Drama, Fantasy",3,23,Quintessential Deckerstar,2018-05-07,2018,9.3,8200.0,8.4,8.0
Lucifer,tt4052886,"Dark Comedy, Dark Fantasy, Police Procedural, Supernatural Fantasy, Crime, Drama, Fantasy",3,24,A Devil of My Word,2018-05-14,2018,9.7,16000.0,8.4,8.0
Lucifer,tt4052886,"Dark Comedy, Dark Fantasy, Police Procedural, Supernatural Fantasy, Crime, Drama, Fantasy",3,25,Boo Normal,2018-05-28,2018,7.4,5600.0,8.4,8.0
Lucifer,tt4052886,"Dark Comedy, Dark Fantasy, Police Procedural, Supernatural Fantasy, Crime, Drama, Fantasy",3,26,Once Upon a Time,2018-05-28,2018,7.5,5700.0,8.4,8.0
Lucifer,tt4052886,"Dark Comedy, Dark Fantasy, Police Procedural, Supernatural Fantasy, Crime, Drama, Fantasy",4,1,Everything's Okay,2019-05-08,2019,8.9,7700.0,8.4,8.0
Lucifer,tt4052886,"Dark Comedy, Dark Fantasy, Police Procedural, Supernatural Fantasy, Crime, Drama, Fantasy",4,2,Somebody's Been Reading Dante's Inferno,2019-05-08,2019,8.9,7100.0,8.4,8.0
Lucifer,tt4052886,"Dark Comedy, Dark Fantasy, Police Procedural, Supernatural Fantasy, Crime, Drama, Fantasy",4,3,"O, Ye of Little Faith, Father",2019-05-08,2019,9.0,6900.0,8.4,8.0
Lucifer,tt4052886,"Dark Comedy, Dark Fantasy, Police Procedural, Supernatural Fantasy, Crime, Drama, Fantasy",4,4,All About Eve,2019-05-08,2019,8.9,6900.0,8.4,8.0
Lucifer,tt4052886,"Dark Comedy, Dark Fantasy, Police Procedural, Supernatural Fantasy, Crime, Drama, Fantasy",4,5,Expire Erect,2019-05-08,2019,8.9,6700.0,8.4,8.0
Lucifer,tt4052886,"Dark Comedy, Dark Fantasy, Police Procedural, Supernatural Fantasy, Crime, Drama, Fantasy",4,6,Orgy Pants to Work,2019-05-08,2019,8.8,6700.0,8.4,8.0
Lucifer,tt4052886,"Dark Comedy, Dark Fantasy, Police Procedural, Supernatural Fantasy, Crime, Drama, Fantasy",4,7,Devil Is as Devil Does,2019-05-08,2019,9.1,6900.0,8.4,8.0
Lucifer,tt4052886,"Dark Comedy, Dark Fantasy, Police Procedural, Supernatural Fantasy, Crime, Drama, Fantasy",4,8,Super Bad Boyfriend,2019-05-08,2019,9.0,7200.0,8.4,8.0
Lucifer,tt4052886,"Dark Comedy, Dark Fantasy, Police Procedural, Supernatural Fantasy, Crime, Drama, Fantasy",4,9,Save Lucifer,2019-05-08,2019,9.4,8100.0,8.4,8.0
Lucifer,tt4052886,"Dark Comedy, Dark Fantasy, Police Procedural, Supernatural Fantasy, Crime, Drama, Fantasy",4,10,Who's da New King of Hell?,2019-05-08,2019,9.6,12000.0,8.4,8.0
Lucifer,tt4052886,"Dark Comedy, Dark Fantasy, Police Procedural, Supernatural Fantasy, Crime, Drama, Fantasy",5,1,Really Sad Devil Guy,2020-08-21,2020,8.0,5000.0,8.4,8.0
Lucifer,tt4052886,"Dark Comedy, Dark Fantasy, Police Procedural, Supernatural Fantasy, Crime, Drama, Fantasy",5,2,Lucifer! Lucifer! Lucifer!,2020-08-21,2020,8.3,4700.0,8.4,8.0
Lucifer,tt4052886,"Dark Comedy, Dark Fantasy, Police Procedural, Supernatural Fantasy, Crime, Drama, Fantasy",5,3,¡Diablo!,2020-08-21,2020,8.3,4600.0,8.4,8.0
Lucifer,tt4052886,"Dark Comedy, Dark Fantasy, Police Procedural, Supernatural Fantasy, Crime, Drama, Fantasy",5,4,It Never Ends Well for the Chicken,2020-08-21,2020,6.4,6000.0,8.4,8.0
Lucifer,tt4052886,"Dark Comedy, Dark Fantasy, Police Procedural, Supernatural Fantasy, Crime, Drama, Fantasy",5,5,Detective Amenadiel,2020-08-21,2020,8.6,4600.0,8.4,8.0
Lucifer,tt4052886,"Dark Comedy, Dark Fantasy, Police Procedural, Supernatural Fantasy, Crime, Drama, Fantasy",5,6,BlueBallz,2020-08-21,2020,8.6,4600.0,8.4,8.0
Lucifer,tt4052886,"Dark Comedy, Dark Fantasy, Police Procedural, Supernatural Fantasy, Crime, Drama, Fantasy",5,7,Our Mojo,2020-08-21,2020,8.8,4600.0,8.4,8.0
Lucifer,tt4052886,"Dark Comedy, Dark Fantasy, Police Procedural, Supernatural Fantasy, Crime, Drama, Fantasy",5,8,Spoiler Alert,2020-08-21,2020,9.3,6300.0,8.4,8.0
Lucifer,tt4052886,"Dark Comedy, Dark Fantasy, Police Procedural, Supernatural Fantasy, Crime, Drama, Fantasy",5,9,Family Dinner,2021-05-28,2021,8.3,4100.0,8.4,8.0
