Show,IMDB ID,Genre,Season,Episode,Title,Air Date,Year,Rating,Votes
The Office,tt0386676,"Mockumentary, Sitcom, Comedy",6,26,Whistleblower,"Thu, May 20, 2010",2010,7.8,5.6K
The Office,tt0386676,"Mockumentary, Sitcom, Comedy",7,1,Nepotism,"Thu, Sep 23, 2010",2010,8.2,6.4K
The Office,tt0386676,"Mockumentary, Sitcom, Comedy",7,2,Counseling,"Thu, Sep 30, 2010",2010,8.0,5.9K
The Office,tt0386676,"Mockumentary, Sitcom, Comedy",7,3,Andy's Play,"Thu, Oct 7, 2010",2010,8.1,6.3K
The Office,tt0386676,"Mockumentary, Sitcom, Comedy",7,4,Sex Ed,"Thu, Oct 14, 2010",2010,7.7,5.8K
The Office,tt0386676,"Mockumentary, Sitcom, Comedy",7,5,The Sting,"Thu, Oct 21, 2010",2010,7.6,5.7K
The Office,tt0386676,"Mockumentary, Sitcom, Comedy",7,6,Costume Contest,"Thu, Oct 28, 2010",2010,8.0,5.9K
The Office,tt0386676,"Mockumentary, Sitcom, Comedy",7,7,Christening,"Thu, Nov 4, 2010",2010,7.2,5.8K
The Office,tt0386676,"Mockumentary, Sitcom, Comedy",7,8,Viewing Party,"Thu, Nov 11, 2010",2010,7.7,5.8K
The Office,tt0386676,"Mockumentary, Sitcom, Comedy",7,9,WUPHF.com,"Thu, Nov 18, 2010",2010,7.5,5.6K
The Office,tt0386676,"Mockumentary, Sitcom, Comedy",7,10,China,"Thu, Dec 2, 2010",2010,8.0,5.9K
The Office,tt0386676,"Mockumentary, Sitcom, Comedy",7,11,"Classy Christmas, Part 1","Thu, Dec 9, 2010",2010,8.8,7.3K
The Office,tt0386676,"Mockumentary, Sitcom, Comedy",7,12,"Classy Christmas, Part 2","Thu, Dec 9, 2010",2010,8.6,361
The Office,tt0386676,"Mockumentary, Sitcom, Comedy",7,13,Ultimatum,"Thu, Jan 20, 2011",2011,8.1,5.9K
The Office,tt0386676,"Mockumentary, Sitcom, Comedy",7,14,The Seminar,"Thu, Jan 27, 2011",2011,7.5,5.7K
The Office,tt0386676,"Mockumentary, Sitcom, Comedy",7,15,The Search,"Thu, Feb 3, 2011",2011,8.4,6.2K
The Office,tt0386676,"Mockumentary, Sitcom, Comedy",7,16,PDA,"Thu, Feb 10, 2011",2011,8.2,6.1K
The Office,tt0386676,"Mockumentary, Sitcom, Comedy",7,17,Threat Level Midnight,"Thu, Feb 17, 2011",2011,9.3,12K
The Office,tt0386676,"Mockumentary, Sitcom, Comedy",7,18,Todd Packer,"Thu, Feb 24, 2011",2011,7.3,5.6K
The Office,tt0386676,"Mockumentary, Sitcom, Comedy",7,19,Garage Sale,"Thu, Mar 24, 2011",2011,9.3,9.7K
The Office,tt0386676,"Mockumentary, Sitcom, Comedy",7,20,Training Day,"Thu, Apr 14, 2011",2011,7.5,5.7K
The Office,tt0386676,"Mockumentary, Sitcom, Comedy",7,21,Michael's Last Dundies,"Thu, Apr 21, 2011",2011,8.9,7.9K
The Office,tt0386676,"Mockumentary, Sitcom, Comedy",7,22,"Goodbye, Michael","Thu, Apr 28, 2011",2011,9.8,22K
The Office,tt0386676,"Mockumentary, Sitcom, Comedy",7,23,"Goodbye, Michael Part 2","Thu, Apr 28, 2011",2011,9.6,684
The Office,tt0386676,"Mockumentary, Sitcom, Comedy",7,24,The Inner Circle,"Thu, May 5, 2011",2011,7.4,5.7K
The Office,tt0386676,"Mockumentary, Sitcom, Comedy",7,25,"Dwight K. Schrute, (Acting) Manager","Thu, May 12, 2011",2011,8.5,6.1K
The Office,tt0386676,"Mockumentary, Sitcom, Comedy",7,26,Search Committee,"Thu, May 19, 2011",2011,8.5,6.3K
The Office,tt0386676,"Mockumentary, Sitcom, Comedy",7,27,"Search Committee, Part 2","Thu, May 19, 2011",2011,8.1,307
The Office,tt0386676,"Mockumentary, Sitcom, Comedy",8,1,The List,"Thu, Sep 22, 2011",2011,7.9,5.9K
The Office,tt0386676,"Mockumentary, Sitcom, Comedy",8,2,The Incentive,"Thu, Sep 29, 2011",2011,7.9,5.6K
The Office,tt0386676,"Mockumentary, Sitcom, Comedy",8,3,Lotto,"Thu, Oct 6, 2011",2011,7.1,5.4K
The Office,tt0386676,"Mockumentary, Sitcom, Comedy",8,4,Garden Party,"Thu, Oct 13, 2011",2011,8.0,5.9K
The Office,tt0386676,"Mockumentary, Sitcom, Comedy",8,5,Spooked,"Thu, Oct 27, 2011",2011,7.3,5.4K
The Office,tt0386676,"Mockumentary, Sitcom, Comedy",8,6,Doomsday,"Thu, Nov 3, 2011",2011,7.4,5.2K
The Office,tt0386676,"Mockumentary, Sitcom, Comedy",8,7,Pam's Replacement,"Thu, Nov 10, 2011",2011,7.5,5.5K
The Office,tt0386676,"Mockumentary, Sitcom, Comedy",8,8,Gettysburg,"Thu, Nov 17, 2011",2011,6.6,5.5K
The Office,tt0386676,"Mockumentary, Sitcom, Comedy",8,9,Mrs. California,"Thu, Dec 1, 2011",2011,7.5,5.4K
The Office,tt0386676,"Mockumentary, Sitcom, Comedy",8,10,Christmas Wishes,"Thu, Dec 8, 2011",2011,7.7,5.3K
The Office,tt0386676,"Mockumentary, Sitcom, Comedy",8,11,Trivia,"Thu, Jan 12, 2012",2012,7.7,5.2K
The Office,tt0386676,"Mockumentary, Sitcom, Comedy",8,12,Pool Party,"Thu, Jan 19, 2012",2012,7.9,5.7K
The Office,tt0386676,"Mockumentary, Sitcom, Comedy",8,13,Jury Duty,"Thu, Feb 2, 2012",2012,7.3,5.1K
The Office,tt0386676,"Mockumentary, Sitcom, Comedy",8,14,Special Project,"Thu, Feb 9, 2012",2012,7.5,5K
The Office,tt0386676,"Mockumentary, Sitcom, Comedy",8,15,Tallahassee,"Thu, Feb 16, 2012",2012,7.6,5.2K
The Office,tt0386676,"Mockumentary, Sitcom, Comedy",8,16,After Hours,"Thu, Feb 23, 2012",2012,7.9,5.4K
The Office,tt0386676,"Mockumentary, Sitcom, Comedy",8,17,Test the Store,"Thu, Mar 1, 2012",2012,7.6,5.2K
The Office,tt0386676,"Mockumentary, Sitcom, Comedy",8,18,Last Day in Florida,"Thu, Mar 8, 2012",2012,7.6,5.1K
The Office,tt0386676,"Mockumentary, Sitcom, Comedy",8,19,Get the Girl,"Thu, Mar 15, 2012",2012,6.3,5.8K
The Office,tt0386676,"Mockumentary, Sitcom, Comedy",8,20,Welcome Party,"Thu, Apr 12, 2012",2012,6.7,5.2K
The Office,tt0386676,"Mockumentary, Sitcom, Comedy",8,21,Angry Andy,"Thu, Apr 19, 2012",2012,6.7,5.6K
The Office,tt0386676,"Mockumentary, Sitcom, Comedy",8,22,Fundraiser,"Thu, Apr 26, 2012",2012,6.8,5K
The Office,tt0386676,"Mockumentary, Sitcom, Comedy",8,23,Turf War,"Thu, May 3, 2012",2012,7.4,4.9K
The Office,tt0386676,"Mockumentary, Sitcom, Comedy",8,24,Free Family Portrait Studio,"Thu, May 10, 2012",2012,7.5,5.1K
The Office,tt0386676,"Mockumentary, Sitcom, Comedy",9,1,New Guys,"Thu, Sep 20, 2012",2012,7.3,5.4K
The Office,tt0386676,"Mockumentary, Sitcom, Comedy",9,2,Roy's Wedding,"Thu, Sep 27, 2012",2012,6.8,5.2K
The Office,tt0386676,"Mockumentary, Sitcom, Comedy",9,3,Andy's Ancestry,"Thu, Oct 4, 2012",2012,7.1,5.1K
The Office,tt0386676,"Mockumentary, Sitcom, Comedy",9,4,Work Bus,"Thu, Oct 18, 2012",2012,7.6,5.4K
The Office,tt0386676,"Mockumentary, Sitcom, Comedy",9,5,Here Comes Treble,"Thu, Oct 25, 2012",2012,6.7,5.3K
The Office,tt0386676,"Mockumentary, Sitcom, Comedy",9,6,The Boat,"Thu, Nov 8, 2012",2012,7.5,5.2K
The Office,tt0386676,"Mockumentary, Sitcom, Comedy",9,7,The Whale,"Thu, Nov 15, 2012",2012,7.4,5K
The Office,tt0386676,"Mockumentary, Sitcom, Comedy",9,8,The Target,"Thu, Nov 29, 2012",2012,7.7,5.2K
The Office,tt0386676,"Mockumentary, Sitcom, Comedy",9,9,Dwight Christmas,"Thu, Dec 6, 2012",2012,8.2,5.8K
The Office,tt0386676,"Mockumentary, Sitcom, Comedy",9,10,Lice,"Thu, Jan 10, 2013",2013,7.4,5.2K
The Office,tt0386676,"Mockumentary, Sitcom, Comedy",9,11,Suit Warehouse,"Thu, Jan 17, 2013",2013,7.5,5.1K
The Office,tt0386676,"Mockumentary, Sitcom, Comedy",9,12,Customer Loyalty,"Thu, Jan 24, 2013",2013,7.6,5.2K
The Office,tt0386676,"Mockumentary, Sitcom, Comedy",9,13,Junior Salesman,"Thu, Jan 31, 2013",2013,7.3,4.9K
The Office,tt0386676,"Mockumentary, Sitcom, Comedy",9,14,Vandalism,"Thu, Jan 31, 2013",2013,7.1,5K
The Office,tt0386676,"Mockumentary, Sitcom, Comedy",9,15,Couples Discount,"Thu, Feb 7, 2013",2013,6.9,5.1K
The Office,tt0386676,"Mockumentary, Sitcom, Comedy",9,16,Moving On,"Thu, Feb 14, 2013",2013,7.7,5.4K
The Office,tt0386676,"Mockumentary, Sitcom, Comedy",9,17,The Farm,"Thu, Mar 14, 2013",2013,7.3,5.6K
The Office,tt0386676,"Mockumentary, Sitcom, Comedy",9,18,Promos,"Thu, Apr 4, 2013",2013,7.7,5K
The Office,tt0386676,"Mockumentary, Sitcom, Comedy",9,19,Stairmageddon,"Thu, Apr 11, 2013",2013,7.8,5.2K
The Office,tt0386676,"Mockumentary, Sitcom, Comedy",9,20,Paper Airplane,"Thu, Apr 25, 2013",2013,7.8,5.3K
The Office,tt0386676,"Mockumentary, Sitcom, Comedy",9,21,Livin' the Dream,"Thu, May 2, 2013",2013,9.0,7.8K
The Office,tt0386676,"Mockumentary, Sitcom, Comedy",9,22,A.A.R.M.,"Thu, May 9, 2013",2013,9.4,10K
The Office,tt0386676,"Mockumentary, Sitcom, Comedy",9,23,Finale,"Thu, May 16, 2013",2013,9.8,27K
Gossip Girl,tt0397442,"Coming-of-Age, Teen Drama, Teen Romance, Drama, Romance",1,1,Pilot,"Wed, Sep 19, 2007",2007,7.5,2.2K
Gossip Girl,tt0397442,"Coming-of-Age, Teen Drama, Teen Romance, Drama, Romance",1,2,The Wild Brunch,"Wed, Sep 26, 2007",2007,7.4,1.6K
Gossip Girl,tt0397442,"Coming-of-Age, Teen Drama, Teen Romance, Drama, Romance",1,3,Poison Ivy,"Wed, Oct 3, 2007",2007,7.4,1.5K
Gossip Girl,tt0397442,"Coming-of-Age, Teen Drama, Teen Romance, Drama, Romance",1,4,Bad News Blair,"Wed, Oct 10, 2007",2007,7.4,1.4K
Gossip Girl,tt0397442,"Coming-of-Age, Teen Drama, Teen Romance, Drama, Romance",1,5,Dare Devil,"Wed, Oct 17, 2007",2007,7.6,1.4K
Gossip Girl,tt0397442,"Coming-of-Age, Teen Drama, Teen Romance, Drama, Romance",1,6,The Handmaiden's Tale,"Wed, Oct 24, 2007",2007,7.5,1.3K
Gossip Girl,tt0397442,"Coming-of-Age, Teen Drama, Teen Romance, Drama, Romance",1,7,Victor/Victrola,"Wed, Nov 7, 2007",2007,8.0,1.6K
Gossip Girl,tt0397442,"Coming-of-Age, Teen Drama, Teen Romance, Drama, Romance",1,8,Seventeen Candles,"Wed, Nov 14, 2007",2007,7.7,1.3K
Gossip Girl,tt0397442,"Coming-of-Age, Teen Drama, Teen Romance, Drama, Romance",1,9,Blair Waldorf Must Pie!,"Wed, Nov 28, 2007",2007,7.6,1.3K
Gossip Girl,tt0397442,"Coming-of-Age, Teen Drama, Teen Romance, Drama, Romance",1,10,"Hi, Society","Wed, Dec 5, 2007",2007,7.8,1.3K
Gossip Girl,tt0397442,"Coming-of-Age, Teen Drama, Teen Romance, Drama, Romance",1,11,Roman Holiday,"Wed, Dec 19, 2007",2007,7.6,1.2K
Gossip Girl,tt0397442,"Coming-of-Age, Teen Drama, Teen Romance, Drama, Romance",1,12,School Lies,"Wed, Jan 2, 2008",2008,7.5,1.2K
Gossip Girl,tt0397442,"Coming-of-Age, Teen Drama, Teen Romance, Drama, Romance",1,13,A Thin Line Between Chuck and Nate,"Wed, Jan 9, 2008",2008,7.8,1.2K
Gossip Girl,tt0397442,"Coming-of-Age, Teen Drama, Teen Romance, Drama, Romance",1,14,The Blair Bitch Project,"Mon, Apr 21, 2008",2008,7.8,1.3K
Gossip Girl,tt0397442,"Coming-of-Age, Teen Drama, Teen Romance, Drama, Romance",1,15,Desperately Seeking Serena,"Mon, Apr 28, 2008",2008,7.5,1.2K
Gossip Girl,tt0397442,"Coming-of-Age, Teen Drama, Teen Romance, Drama, Romance",1,16,All About My Brother,"Mon, May 5, 2008",2008,8.0,1.3K
Gossip Girl,tt0397442,"Coming-of-Age, Teen Drama, Teen Romance, Drama, Romance",1,17,Woman on the Verge,"Mon, May 12, 2008",2008,8.1,1.2K
Gossip Girl,tt0397442,"Coming-of-Age, Teen Drama, Teen Romance, Drama, Romance",1,18,Much 'I Do' About Nothing,"Mon, May 19, 2008",2008,7.8,1.3K
Gossip Girl,tt0397442,"Coming-of-Age, Teen Drama, Teen Romance, Drama, Romance",2,1,Summer Kind of Wonderful,"Mon, Sep 1, 2008",2008,7.9,1.4K
Gossip Girl,tt0397442,"Coming-of-Age, Teen Drama, Teen Romance, Drama, Romance",2,2,Never Been Marcused,"Mon, Sep 8, 2008",2008,7.5,1.1K
Gossip Girl,tt0397442,"Coming-of-Age, Teen Drama, Teen Romance, Drama, Romance",2,3,The Dark Night,"Mon, Sep 15, 2008",2008,7.6,1.1K
Gossip Girl,tt0397442,"Coming-of-Age, Teen Drama, Teen Romance, Drama, Romance",2,4,The Ex-Files,"Mon, Sep 22, 2008",2008,7.6,1K
Gossip Girl,tt0397442,"Coming-of-Age, Teen Drama, Teen Romance, Drama, Romance",2,5,The Serena Also Rises,"Mon, Sep 29, 2008",2008,7.8,1.1K
Gossip Girl,tt0397442,"Coming-of-Age, Teen Drama, Teen Romance, Drama, Romance",2,6,New Haven Can Wait,"Mon, Oct 13, 2008",2008,7.7,1K
Gossip Girl,tt0397442,"Coming-of-Age, Teen Drama, Teen Romance, Drama, Romance",2,7,Chuck in Real Life,"Mon, Oct 20, 2008",2008,7.9,1.1K
Gossip Girl,tt0397442,"Coming-of-Age, Teen Drama, Teen Romance, Drama, Romance",2,8,Pret-a-Poor-J,"Mon, Oct 27, 2008",2008,8.0,1.1K
Gossip Girl,tt0397442,"Coming-of-Age, Teen Drama, Teen Romance, Drama, Romance",2,9,There Might be Blood,"Mon, Nov 3, 2008",2008,7.9,1K
Gossip Girl,tt0397442,"Coming-of-Age, Teen Drama, Teen Romance, Drama, Romance",2,10,Bonfire of the Vanity,"Mon, Nov 10, 2008",2008,7.5,946
Gossip Girl,tt0397442,"Coming-of-Age, Teen Drama, Teen Romance, Drama, Romance",2,11,The Magnificent Archibalds,"Mon, Nov 17, 2008",2008,7.7,943
Gossip Girl,tt0397442,"Coming-of-Age, Teen Drama, Teen Romance, Drama, Romance",2,12,It's a Wonderful Lie,"Mon, Dec 1, 2008",2008,7.7,984
Gossip Girl,tt0397442,"Coming-of-Age, Teen Drama, Teen Romance, Drama, Romance",2,13,"O Brother, Where Bart Thou?","Mon, Dec 8, 2008",2008,8.4,1.2K
Gossip Girl,tt0397442,"Coming-of-Age, Teen Drama, Teen Romance, Drama, Romance",2,14,In the Realm of the Basses,"Mon, Jan 5, 2009",2009,7.8,994
Gossip Girl,tt0397442,"Coming-of-Age, Teen Drama, Teen Romance, Drama, Romance",2,15,Gone with the Will,"Mon, Jan 12, 2009",2009,7.8,961
Gossip Girl,tt0397442,"Coming-of-Age, Teen Drama, Teen Romance, Drama, Romance",2,16,You've Got Yale!,"Mon, Jan 19, 2009",2009,7.7,984
Gossip Girl,tt0397442,"Coming-of-Age, Teen Drama, Teen Romance, Drama, Romance",2,17,Carrnal Knowledge,"Mon, Feb 2, 2009",2009,7.6,974
Gossip Girl,tt0397442,"Coming-of-Age, Teen Drama, Teen Romance, Drama, Romance",2,18,The Age of Dissonance,"Mon, Mar 16, 2009",2009,7.4,950
Gossip Girl,tt0397442,"Coming-of-Age, Teen Drama, Teen Romance, Drama, Romance",2,19,The Grandfather,"Mon, Mar 23, 2009",2009,7.3,898
Gossip Girl,tt0397442,"Coming-of-Age, Teen Drama, Teen Romance, Drama, Romance",2,20,Remains of the J,"Mon, Mar 30, 2009",2009,7.3,878
Gossip Girl,tt0397442,"Coming-of-Age, Teen Drama, Teen Romance, Drama, Romance",2,21,Seder Anything,"Mon, Apr 20, 2009",2009,7.6,905
Gossip Girl,tt0397442,"Coming-of-Age, Teen Drama, Teen Romance, Drama, Romance",2,22,Southern Gentlemen Prefer Blondes,"Mon, Apr 27, 2009",2009,7.6,872
Gossip Girl,tt0397442,"Coming-of-Age, Teen Drama, Teen Romance, Drama, Romance",2,23,The Wrath of Con,"Mon, May 4, 2009",2009,7.9,937
Gossip Girl,tt0397442,"Coming-of-Age, Teen Drama, Teen Romance, Drama, Romance",2,24,Valley Girls,"Mon, May 11, 2009",2009,8.0,1.2K
Gossip Girl,tt0397442,"Coming-of-Age, Teen Drama, Teen Romance, Drama, Romance",2,25,The Goodbye Gossip Girl,"Mon, May 18, 2009",2009,8.5,1.4K
Gossip Girl,tt0397442,"Coming-of-Age, Teen Drama, Teen Romance, Drama, Romance",3,1,Reversals of Fortune,"Mon, Sep 14, 2009",2009,7.4,981
Gossip Girl,tt0397442,"Coming-of-Age, Teen Drama, Teen Romance, Drama, Romance",3,2,The Freshmen,"Mon, Sep 21, 2009",2009,7.5,860
Gossip Girl,tt0397442,"Coming-of-Age, Teen Drama, Teen Romance, Drama, Romance",3,3,The Lost Boy,"Mon, Sep 28, 2009",2009,7.6,857
Gossip Girl,tt0397442,"Coming-of-Age, Teen Drama, Teen Romance, Drama, Romance",3,4,Dan de Fleurette,"Mon, Oct 5, 2009",2009,7.7,890
Gossip Girl,tt0397442,"Coming-of-Age, Teen Drama, Teen Romance, Drama, Romance",3,5,Rufus Getting Married,"Mon, Oct 12, 2009",2009,7.7,849
Gossip Girl,tt0397442,"Coming-of-Age, Teen Drama, Teen Romance, Drama, Romance",3,6,Enough About Eve,"Mon, Oct 19, 2009",2009,7.6,847
Gossip Girl,tt0397442,"Coming-of-Age, Teen Drama, Teen Romance, Drama, Romance",3,7,How to Succeed in Bassness,"Mon, Oct 26, 2009",2009,7.5,807
Gossip Girl,tt0397442,"Coming-of-Age, Teen Drama, Teen Romance, Drama, Romance",3,8,The Grandfather: Part II,"Mon, Nov 2, 2009",2009,7.5,794
Gossip Girl,tt0397442,"Coming-of-Age, Teen Drama, Teen Romance, Drama, Romance",3,9,"They Shoot Humphreys, Don't They?","Mon, Nov 9, 2009",2009,7.7,848
Gossip Girl,tt0397442,"Coming-of-Age, Teen Drama, Teen Romance, Drama, Romance",3,10,The Last Days of Disco Stick,"Mon, Nov 16, 2009",2009,7.6,855
Gossip Girl,tt0397442,"Coming-of-Age, Teen Drama, Teen Romance, Drama, Romance",3,11,The Treasure of Serena Madre,"Mon, Nov 30, 2009",2009,7.8,868
Gossip Girl,tt0397442,"Coming-of-Age, Teen Drama, Teen Romance, Drama, Romance",3,12,The Debarted,"Mon, Dec 7, 2009",2009,7.9,879
Gossip Girl,tt0397442,"Coming-of-Age, Teen Drama, Teen Romance, Drama, Romance",3,13,The Hurt Locket,"Mon, Mar 8, 2010",2010,7.3,788
Gossip Girl,tt0397442,"Coming-of-Age, Teen Drama, Teen Romance, Drama, Romance",3,14,The Lady Vanished,"Mon, Mar 15, 2010",2010,7.3,756
Gossip Girl,tt0397442,"Coming-of-Age, Teen Drama, Teen Romance, Drama, Romance",3,15,The Sixteen Year Old Virgin,"Mon, Mar 22, 2010",2010,7.3,741
Gossip Girl,tt0397442,"Coming-of-Age, Teen Drama, Teen Romance, Drama, Romance",3,16,The Empire Strikes Jack,"Mon, Mar 29, 2010",2010,7.4,750
Gossip Girl,tt0397442,"Coming-of-Age, Teen Drama, Teen Romance, Drama, Romance",3,17,Inglourious Bassterds,"Mon, Apr 5, 2010",2010,7.8,767
Gossip Girl,tt0397442,"Coming-of-Age, Teen Drama, Teen Romance, Drama, Romance",3,18,The Unblairable Lightness of Being,"Mon, Apr 12, 2010",2010,7.7,770
Gossip Girl,tt0397442,"Coming-of-Age, Teen Drama, Teen Romance, Drama, Romance",3,19,Dr. Estrangeloved,"Mon, Apr 26, 2010",2010,7.3,714
Gossip Girl,tt0397442,"Coming-of-Age, Teen Drama, Teen Romance, Drama, Romance",3,20,"It's a Dad, Dad, Dad, Dad World","Mon, May 3, 2010",2010,7.3,739
Gossip Girl,tt0397442,"Coming-of-Age, Teen Drama, Teen Romance, Drama, Romance",3,21,Ex-Husbands and Wives,"Mon, May 10, 2010",2010,7.7,740
Gossip Girl,tt0397442,"Coming-of-Age, Teen Drama, Teen Romance, Drama, Romance",3,22,"Last Tango, Then Paris","Mon, May 17, 2010",2010,8.3,924
Gossip Girl,tt0397442,"Coming-of-Age, Teen Drama, Teen Romance, Drama, Romance",4,1,Belles de Jour,"Mon, Sep 13, 2010",2010,7.7,911
Gossip Girl,tt0397442,"Coming-of-Age, Teen Drama, Teen Romance, Drama, Romance",4,2,Double Identity,"Mon, Sep 20, 2010",2010,8.2,947
Gossip Girl,tt0397442,"Coming-of-Age, Teen Drama, Teen Romance, Drama, Romance",4,3,The Undergraduates,"Mon, Sep 27, 2010",2010,7.5,727
Gossip Girl,tt0397442,"Coming-of-Age, Teen Drama, Teen Romance, Drama, Romance",4,4,Touch of Eva,"Mon, Oct 4, 2010",2010,7.6,713
Gossip Girl,tt0397442,"Coming-of-Age, Teen Drama, Teen Romance, Drama, Romance",4,5,"Goodbye, Columbia","Mon, Oct 11, 2010",2010,7.3,687
Gossip Girl,tt0397442,"Coming-of-Age, Teen Drama, Teen Romance, Drama, Romance",4,6,Easy J,"Mon, Oct 25, 2010",2010,7.7,756
Gossip Girl,tt0397442,"Coming-of-Age, Teen Drama, Teen Romance, Drama, Romance",4,7,War at the Roses,"Mon, Nov 1, 2010",2010,7.8,805
Gossip Girl,tt0397442,"Coming-of-Age, Teen Drama, Teen Romance, Drama, Romance",4,8,Juliet Doesn't Live Here Anymore,"Mon, Nov 8, 2010",2010,7.7,761
Gossip Girl,tt0397442,"Coming-of-Age, Teen Drama, Teen Romance, Drama, Romance",4,9,The Witches of Bushwick,"Mon, Nov 15, 2010",2010,7.9,782
Gossip Girl,tt0397442,"Coming-of-Age, Teen Drama, Teen Romance, Drama, Romance",4,10,Gaslit,"Mon, Nov 29, 2010",2010,7.9,728
Gossip Girl,tt0397442,"Coming-of-Age, Teen Drama, Teen Romance, Drama, Romance",4,11,The Townie,"Mon, Dec 6, 2010",2010,8.1,812
Gossip Girl,tt0397442,"Coming-of-Age, Teen Drama, Teen Romance, Drama, Romance",4,12,The Kids Are Not All Right,"Mon, Jan 24, 2011",2011,7.4,670
Gossip Girl,tt0397442,"Coming-of-Age, Teen Drama, Teen Romance, Drama, Romance",4,13,Damien Darko,"Mon, Jan 31, 2011",2011,7.4,664
Gossip Girl,tt0397442,"Coming-of-Age, Teen Drama, Teen Romance, Drama, Romance",4,14,Panic Roommate,"Mon, Feb 7, 2011",2011,7.0,690
Gossip Girl,tt0397442,"Coming-of-Age, Teen Drama, Teen Romance, Drama, Romance",4,15,It-Girl Happened One Night,"Mon, Feb 14, 2011",2011,7.3,677
Gossip Girl,tt0397442,"Coming-of-Age, Teen Drama, Teen Romance, Drama, Romance",4,16,While You Weren't Sleeping,"Mon, Feb 21, 2011",2011,7.4,674
Gossip Girl,tt0397442,"Coming-of-Age, Teen Drama, Teen Romance, Drama, Romance",4,17,Empire of the Son,"Mon, Feb 28, 2011",2011,7.7,706
Gossip Girl,tt0397442,"Coming-of-Age, Teen Drama, Teen Romance, Drama, Romance",4,18,The Kids Stay in the Picture,"Mon, Apr 18, 2011",2011,7.1,691
Gossip Girl,tt0397442,"Coming-of-Age, Teen Drama, Teen Romance, Drama, Romance",4,19,Petty in Pink,"Mon, Apr 25, 2011",2011,7.4,658
Gossip Girl,tt0397442,"Coming-of-Age, Teen Drama, Teen Romance, Drama, Romance",4,20,The Princesses and the Frog,"Mon, May 2, 2011",2011,7.3,693
Gossip Girl,tt0397442,"Coming-of-Age, Teen Drama, Teen Romance, Drama, Romance",4,21,Shattered Bass,"Mon, May 9, 2011",2011,7.4,695
Gossip Girl,tt0397442,"Coming-of-Age, Teen Drama, Teen Romance, Drama, Romance",4,22,The Wrong Goodbye,"Mon, May 16, 2011",2011,8.0,848
Gossip Girl,tt0397442,"Coming-of-Age, Teen Drama, Teen Romance, Drama, Romance",5,1,"Yes, Then Zero","Mon, Sep 26, 2011",2011,7.5,834
Gossip Girl,tt0397442,"Coming-of-Age, Teen Drama, Teen Romance, Drama, Romance",5,2,Beauty and the Feast,"Mon, Oct 3, 2011",2011,7.2,695
Gossip Girl,tt0397442,"Coming-of-Age, Teen Drama, Teen Romance, Drama, Romance",5,3,The Jewel of Denial,"Mon, Oct 10, 2011",2011,7.5,655
Gossip Girl,tt0397442,"Coming-of-Age, Teen Drama, Teen Romance, Drama, Romance",5,4,Memoirs of an Invisible Dan,"Mon, Oct 17, 2011",2011,7.8,700
Gossip Girl,tt0397442,"Coming-of-Age, Teen Drama, Teen Romance, Drama, Romance",5,5,The Fasting and the Furious,"Mon, Oct 24, 2011",2011,7.2,656
Gossip Girl,tt0397442,"Coming-of-Age, Teen Drama, Teen Romance, Drama, Romance",5,6,I Am Number Nine,"Mon, Nov 7, 2011",2011,7.6,662
Gossip Girl,tt0397442,"Coming-of-Age, Teen Drama, Teen Romance, Drama, Romance",5,7,The Big Sleep No More,"Mon, Nov 14, 2011",2011,7.1,674
Gossip Girl,tt0397442,"Coming-of-Age, Teen Drama, Teen Romance, Drama, Romance",5,8,All the Pretty Sources,"Mon, Nov 21, 2011",2011,7.5,638
Gossip Girl,tt0397442,"Coming-of-Age, Teen Drama, Teen Romance, Drama, Romance",5,9,Rhodes to Perdition,"Mon, Nov 28, 2011",2011,7.3,643
Gossip Girl,tt0397442,"Coming-of-Age, Teen Drama, Teen Romance, Drama, Romance",5,10,Riding in Town Cars with Boys,"Mon, Dec 5, 2011",2011,8.0,765
Gossip Girl,tt0397442,"Coming-of-Age, Teen Drama, Teen Romance, Drama, Romance",5,11,The End of the Affair?,"Mon, Jan 16, 2012",2012,6.8,793
Gossip Girl,tt0397442,"Coming-of-Age, Teen Drama, Teen Romance, Drama, Romance",5,12,Father and the Bride,"Mon, Jan 23, 2012",2012,7.3,654
Gossip Girl,tt0397442,"Coming-of-Age, Teen Drama, Teen Romance, Drama, Romance",5,13,G.G.,"Mon, Jan 30, 2012",2012,8.3,893
Gossip Girl,tt0397442,"Coming-of-Age, Teen Drama, Teen Romance, Drama, Romance",5,14,The Backup Dan,"Mon, Feb 6, 2012",2012,7.7,671
Gossip Girl,tt0397442,"Coming-of-Age, Teen Drama, Teen Romance, Drama, Romance",5,15,"Crazy, Cupid, Love","Mon, Feb 13, 2012",2012,7.5,691
Gossip Girl,tt0397442,"Coming-of-Age, Teen Drama, Teen Romance, Drama, Romance",5,16,Cross Rhodes,"Mon, Feb 20, 2012",2012,7.6,661
Gossip Girl,tt0397442,"Coming-of-Age, Teen Drama, Teen Romance, Drama, Romance",5,17,The Princess Dowry,"Mon, Feb 27, 2012",2012,7.5,668
Gossip Girl,tt0397442,"Coming-of-Age, Teen Drama, Teen Romance, Drama, Romance",5,18,Con-Heir,"Mon, Apr 2, 2012",2012,7.2,668
